time,speed,rpm,fuel_efficiency,engine_temp,throttle,gear,fault_code,fuel
53,40.17,3025.81,5.0,75.0,24.35,3,0,44.68937875751503
54,40.87,3131.03,5.0,75.0,14.68,3,0,44.589178356713425
55,41.55,3231.84,5.0,75.0,16.11,3,0,44.48897795591182
56,42.21,3330.79,5.0,75.0,14.1,3,0,44.388777555110224
57,42.87,3430.87,5.0,75.0,10.57,3,0,44.28857715430862
58,44.35,3652.26,5.0,75.0,16.62,3,0,44.188376753507015
59,45.42,3812.82,5.0,75.0,28.13,3,0,44.08817635270541
60,46.54,3981.2,5.0,75.0,16.3,3,0,43.987975951903806
61,47.13,4069.89,5.0,75.0,23.58,3,0,43.8877755511022
62,48.6,4289.64,5.0,75.0,15.21,3,P0171,43.7875751503006
63,49.57,4435.59,5.0,75.0,23.44,3,0,43.687374749499
64,50.0,1500.0,6.67,75.0,17.59,4,0,43.587174348697395
65,49.0,1470.0,6.6033,75.0,22.95,4,0,43.48697394789579
66,50.0,1500.0,6.67,75.0,11.68,4,0,43.38677354709419
67,49.0,1470.0,6.6033,75.0,10.34,4,0,43.28657314629258
68,50.0,1500.0,6.67,75.0,20.12,4,0,43.186372745490985
69,49.0,1470.0,6.6033,75.0,20.2,4,0,43.08617234468938
70,50.0,1500.0,6.67,75.0,11.98,4,0,42.985971943887776
71,49.0,1470.0,6.6033,75.0,16.45,4,0,42.88577154308617
72,50.0,1500.0,6.67,75.0,28.45,4,0,42.78557114228457
73,49.0,1470.0,6.6033,75.0,27.89,4,0,42.68537074148296
74,50.0,1500.0,6.67,75.0,15.42,4,0,42.585170340681366
75,49.0,1470.0,6.6033,75.0,24.27,4,0,42.48496993987976
76,50.0,1500.0,6.67,75.0,29.09,4,0,42.38476953907816
77,49.0,1470.0,6.6033,75.0,17.21,4,0,42.28456913827655
78,50.0,1500.0,6.67,75.0,25.58,4,0,42.18436873747495
79,49.0,1470.0,6.6033,75.0,10.82,4,0,42.08416833667334
80,50.0,1500.0,6.67,75.0,22.07,4,0,41.983967935871746
81,49.0,1470.0,6.6033,75.0,29.94,4,0,41.88376753507014
82,50.0,1500.0,6.67,75.0,23.34,4,0,41.78356713426854
83,49.0,1470.0,6.6033,75.0,13.28,4,0,41.68336673346693
84,50.0,1500.0,6.67,75.0,11.19,4,0,41.58316633266533
85,49.0,1470.0,6.6033,75.0,21.54,4,0,41.48296593186373
86,50.0,1500.0,6.67,75.0,25.65,4,0,41.38276553106212
87,49.0,1470.0,6.6033,75.0,15.02,4,0,41.28256513026052
88,50.0,1500.0,6.67,75.0,15.59,4,0,41.18236472945892
89,49.0,1470.0,6.6033,75.0,24.27,4,P0420,41.08216432865731
90,50.0,1500.0,6.67,75.0,28.17,4,0,40.98196392785571
91,49.0,1470.0,6.6033,75.0,15.63,4,0,40.881763527054105
92,50.0,1500.0,6.67,75.0,24.19,4,0,40.78156312625251
93,49.0,1470.0,6.6033,75.0,14.47,4,0,40.6813627254509
94,50.0,1500.0,6.67,75.0,21.06,4,0,40.5811623246493
95,49.0,1470.0,6.6033,75.0,10.57,4,0,40.480961923847694
96,50.0,1500.0,6.67,75.0,18.28,4,0,40.38076152304609
97,49.0,1470.0,6.6033,75.0,27.45,4,0,40.28056112224449
98,50.0,1500.0,6.67,75.0,11.78,4,0,40.18036072144289
99,49.0,1470.0,6.6033,75.0,25.73,4,0,40.08016032064128
100,48.17,4224.89,5.0,75.0,0.0,3,0,39.97995991983968
101,50.95,1643.12,6.2,75.0,35.06,4,0,39.879759519038075
102,52.67,1900.08,5.54,75.0,58.19,4,0,39.77955911823647
103,54.82,2222.87,5.0,75.0,49.52,4,0,39.679358717434866
104,57.1,2565.09,5.0,75.0,49.5,4,0,39.57915831663327
105,59.63,2945.17,5.0,75.0,34.28,4,0,39.478957915831664
106,61.79,3268.16,5.0,75.0,32.89,4,0,39.37875751503006
107,63.85,3577.97,5.0,75.0,34.01,4,0,39.278557114228455
108,66.67,4001.0,5.0,75.0,65.51,4,0,39.17835671342685
109,69.47,4421.23,5.0,75.0,30.09,4,0,39.078156312625254
110,72.2,1747.8,8.26,75.0,44.65,5,0,38.97795591182365
111,74.61,2018.87,7.39,75.0,44.6,5,0,38.877755511022045
112,76.87,2272.54,6.76,75.0,48.59,5,0,38.77755511022044
113,79.11,2524.57,6.27,75.0,37.14,5,0,38.677354709418836
114,81.83,2830.68,5.78,75.0,61.07,5,0,38.57715430861723
115,84.39,3118.91,5.41,75.0,40.17,5,0,38.47695390781563
116,87.23,3438.43,5.07,75.0,37.77,5,0,38.37675350701403
117,90.19,3771.82,5.0,75.0,64.73,5,0,38.276553106212425
118,93.02,4090.14,5.0,75.0,51.67,5,0,38.17635270541082
119,95.34,4350.92,5.0,75.0,32.05,5,0,38.07615230460922
120,97.6,4604.95,5.0,75.0,55.91,5,0,37.97595190380761
121,99.84,4856.69,5.0,75.0,36.87,5,0,37.875751503006015
122,101.58,1588.62,12.79,75.0,37.83,6,0,37.77555110220441
123,103.31,1685.92,12.26,75.0,40.77,6,0,37.675350701402806
124,105.72,1821.78,11.61,75.0,36.16,6,0,37.5751503006012
125,108.4,1972.4,10.99,75.0,39.49,6,0,37.4749498997996
126,111.31,2135.92,10.42,75.0,63.03,6,0,37.374749498998
127,112.93,2227.23,10.14,75.0,46.73,6,0,37.27454909819639
128,114.71,2327.42,9.86,75.0,47.93,6,0,37.17434869739479
129,116.7,2439.42,9.57,75.0,61.24,6,0,37.07414829659319
130,118.69,2551.1,9.3,75.0,63.55,6,0,36.97394789579158
131,120.0,2625.0,9.14,75.0,36.11,6,0,36.87374749498998
132,117.6,2572.5,9.0486,75.0,48.88,6,0,36.77354709418837
133,120.0,2625.0,9.14,75.0,41.49,6,0,36.673346693386776
134,117.6,2572.5,9.0486,75.0,43.78,6,0,36.57314629258517
135,120.0,2625.0,9.14,75.0,64.12,6,0,36.47294589178357
136,117.6,2572.5,9.0486,75.0,58.64,6,0,36.37274549098196
137,120.0,2625.0,9.14,75.0,49.04,6,0,36.27254509018036
138,117.6,2572.5,9.0486,75.0,68.1,6,0,36.17234468937876
139,120.0,2625.0,9.14,75.0,62.58,6,0,36.07214428857715
140,117.6,2572.5,9.0486,75.0,44.81,6,0,35.97194388777555
141,120.0,2625.0,9.14,75.0,50.2,6,0,35.87174348697395
142,117.6,2572.5,9.0486,75.0,66.46,6,0,35.77154308617234
143,120.0,2625.0,9.14,75.0,46.96,6,0,35.67134268537074
144,117.6,2572.5,9.0486,75.0,50.96,6,0,35.571142284569135
145,120.0,2625.0,9.14,75.0,62.24,6,0,35.47094188376754
146,117.6,2572.5,9.0486,75.0,47.42,6,0,35.37074148296593
147,120.0,2625.0,9.14,75.0,49.49,6,0,35.27054108216433
148,117.6,2572.5,9.0486,75.0,57.79,6,0,35.170340681362724
149,120.0,2625.0,9.14,75.0,31.98,6,0,35.07014028056112
150,117.6,2572.5,9.0486,75.0,67.48,6,0,34.96993987975952
151,120.0,2625.0,9.14,75.0,39.86,6,P0455,34.86973947895792
152,117.6,2572.5,9.0486,75.0,58.44,6,0,34.76953907815631
153,120.0,2625.0,9.14,75.0,59.89,6,0,34.66933867735471
154,117.6,2572.5,9.0486,75.0,61.59,6,0,34.569138276553105
155,120.0,2625.0,9.14,75.0,51.27,6,0,34.4689378757515
156,117.6,2572.5,9.0486,75.0,58.77,6,0,34.368737474949896
157,120.0,2625.0,9.14,75.0,32.69,6,0,34.2685370741483
158,117.6,2572.5,9.0486,75.0,36.69,6,0,34.168336673346694
159,120.0,2625.0,9.14,75.0,43.2,6,0,34.06813627254509
160,117.6,2572.5,9.0486,75.0,64.45,6,0,33.967935871743485
161,120.0,2625.0,9.14,75.0,53.96,6,0,33.86773547094188
162,117.6,2572.5,9.0486,75.0,35.06,6,0,33.76753507014028
163,120.0,2625.0,9.14,75.0,47.82,6,0,33.66733466933867
164,117.6,2572.5,9.0486,75.0,31.73,6,0,33.567134268537075
165,120.0,2625.0,9.14,75.0,45.93,6,0,33.46693386773547
166,117.6,2572.5,9.0486,75.0,43.43,6,P0301,33.366733466933866
167,120.0,2625.0,9.14,75.0,49.16,6,0,33.26653306613227
168,117.6,2572.5,9.0486,75.0,59.52,6,0,33.16633266533066
169,120.0,2625.0,9.14,75.0,46.38,6,0,33.06613226452906
170,117.6,2572.5,9.0486,75.0,41.86,6,0,32.965931863727455
171,120.0,2625.0,9.14,75.0,46.08,6,0,32.86573146292585
172,117.6,2572.5,9.0486,75.0,60.0,6,0,32.765531062124246
173,120.0,2625.0,9.14,75.0,64.33,6,0,32.66533066132264
174,117.6,2572.5,9.0486,75.0,34.71,6,0,32.565130260521045
175,120.0,2625.0,9.14,75.0,39.24,6,0,32.46492985971943
176,117.6,2572.5,9.0486,75.0,64.01,6,0,32.364729458917836
177,120.0,2625.0,9.14,75.0,53.61,6,0,32.26452905811623
178,117.6,2572.5,9.0486,75.0,41.87,6,0,32.16432865731463
179,120.0,2625.0,9.14,75.0,66.04,6,0,32.06412825651303
180,117.6,2572.5,9.0486,75.0,35.09,6,0,31.96392785571142
181,120.0,2625.0,9.14,75.0,69.63,6,0,31.86372745490982
182,117.6,2572.5,9.0486,75.0,51.19,6,0,31.763527054108216
183,120.0,2625.0,9.14,75.0,65.83,6,0,31.663326653306612
184,117.6,2572.5,9.0486,75.0,61.07,6,0,31.56312625250501
185,120.0,2625.0,9.14,75.0,40.16,6,0,31.462925851703407
186,117.6,2572.5,9.0486,75.0,51.91,6,0,31.362725450901802
187,120.0,2625.0,9.14,75.0,48.96,6,0,31.2625250501002
188,117.6,2572.5,9.0486,75.0,56.45,6,0,31.162324649298597
189,120.0,2625.0,9.14,75.0,38.31,6,0,31.062124248496993
190,117.6,2572.5,9.0486,75.0,59.93,6,0,30.96192384769539
191,120.0,2625.0,9.14,75.0,60.08,6,0,30.861723446893787
192,117.6,2572.5,9.0486,75.0,45.58,6,0,30.761523046092183
193,120.0,2625.0,9.14,75.0,64.97,6,0,30.661322645290582
194,117.6,2572.5,9.0486,75.0,44.31,6,0,30.561122244488978
195,120.0,2625.0,9.14,75.0,66.11,6,0,30.460921843687373
196,117.6,2572.5,9.0486,75.0,63.53,6,0,30.360721442885772
197,120.0,2625.0,9.14,75.0,50.99,6,0,30.260521042084168
198,117.6,2572.5,9.0486,75.0,38.8,6,0,30.160320641282564
199,120.0,2625.0,9.14,75.0,68.38,6,0,30.060120240480963
200,117.6,2572.5,9.0486,75.0,60.03,6,0,29.95991983967936
201,120.0,2625.0,9.14,75.0,65.77,6,0,29.859719438877754
202,117.6,2572.5,9.0486,75.0,38.58,6,0,29.759519038076153
203,120.0,2625.0,9.14,75.0,63.91,6,0,29.65931863727455
204,117.6,2572.5,9.0486,75.0,67.47,6,0,29.559118236472944
205,120.0,2625.0,9.14,75.0,52.77,6,0,29.458917835671343
206,117.6,2572.5,9.0486,75.0,47.28,6,0,29.35871743486974
207,120.0,2625.0,9.14,75.0,52.59,6,0,29.258517034068134
208,117.6,2572.5,9.0486,75.0,65.28,6,0,29.158316633266534
209,120.0,2625.0,9.14,75.0,35.57,6,P0455,29.05811623246493
210,117.6,2572.5,9.0486,75.0,46.54,6,0,28.957915831663325
211,120.0,2625.0,9.14,75.0,59.11,6,0,28.857715430861724
212,117.6,2572.5,9.0486,75.0,59.94,6,0,28.75751503006012
213,120.0,2625.0,9.14,75.0,52.7,6,0,28.657314629258515
214,117.6,2572.5,9.0486,75.0,30.59,6,0,28.557114228456914
215,120.0,2625.0,9.14,75.0,66.99,6,0,28.45691382765531
216,117.6,2572.5,9.0486,75.0,39.04,6,0,28.356713426853705
217,120.0,2625.0,9.14,75.0,69.68,6,0,28.256513026052104
218,117.6,2572.5,9.0486,75.0,38.99,6,0,28.1563126252505
219,120.0,2625.0,9.14,75.0,32.86,6,0,28.056112224448896
220,117.6,2572.5,9.0486,75.0,35.33,6,0,27.955911823647295
221,120.0,2625.0,9.14,75.0,31.99,6,0,27.85571142284569
222,117.6,2572.5,9.0486,75.0,44.76,6,0,27.755511022044086
223,120.0,2625.0,9.14,75.0,59.11,6,0,27.655310621242485
224,117.6,2572.5,9.0486,75.0,42.67,6,0,27.55511022044088
225,120.0,2625.0,9.14,75.0,65.92,6,0,27.454909819639276
226,117.6,2572.5,9.0486,75.0,68.01,6,0,27.354709418837675
227,120.0,2625.0,9.14,75.0,67.98,6,0,27.25450901803607
228,117.6,2572.5,9.0486,75.0,69.87,6,0,27.154308617234467
229,120.0,2625.0,9.14,75.0,36.62,6,0,27.054108216432866
230,117.6,2572.5,9.0486,75.0,69.24,6,0,26.95390781563126
231,120.0,2625.0,9.14,75.0,54.16,6,0,26.85370741482966
232,117.6,2572.5,9.0486,75.0,64.26,6,0,26.753507014028056
233,120.0,2625.0,9.14,75.0,35.8,6,0,26.65330661322645
234,117.6,2572.5,9.0486,75.0,54.45,6,0,26.55310621242485
235,120.0,2625.0,9.14,75.0,33.17,6,0,26.452905811623246
236,117.6,2572.5,9.0486,75.0,63.28,6,0,26.352705410821642
237,120.0,2625.0,9.14,75.0,40.46,6,0,26.25250501002004
238,117.6,2572.5,9.0486,75.0,58.98,6,0,26.152304609218437
239,120.0,2625.0,9.14,75.0,31.22,6,0,26.052104208416832
240,117.6,2572.5,9.0486,75.0,31.8,6,0,25.95190380761523
241,120.0,2625.0,9.14,75.0,69.07,6,0,25.851703406813627
242,117.6,2572.5,9.0486,75.0,40.42,6,0,25.751503006012022
243,120.0,2625.0,9.14,75.0,67.93,6,0,25.65130260521042
244,117.6,2572.5,9.0486,75.0,49.83,6,0,25.551102204408817
245,120.0,2625.0,9.14,75.0,65.55,6,0,25.450901803607213
246,117.6,2572.5,9.0486,75.0,62.25,6,0,25.350701402805612
247,120.0,2625.0,9.14,75.0,49.75,6,0,25.250501002004007
248,117.6,2572.5,9.0486,75.0,42.7,6,0,25.150300601202403
249,120.0,2625.0,9.14,75.0,55.3,6,0,25.050100200400802
250,117.21,2467.78,9.5,75.0,0.0,6,0,24.949899799599198
251,113.19,2241.76,10.1,75.0,9.33,6,0,24.849699398797593
252,108.77,1993.44,10.91,75.0,11.72,6,0,24.749498997995993
253,104.43,1749.15,11.94,75.0,7.52,6,P0171,24.649298597194388
254,101.24,1569.5,12.9,75.0,8.51,6,0,24.549098196392784
255,98.1,4661.47,5.0,75.0,14.42,5,0,24.448897795591183
256,94.92,4304.04,5.0,75.0,7.91,5,0,24.34869739478958
257,90.37,3791.85,5.0,75.0,10.96,5,0,24.248496993987974
258,85.86,3283.91,5.23,75.0,6.18,5,0,24.148296593186373
259,81.45,2787.65,5.84,75.0,10.77,5,0,24.04809619238477
260,77.05,2292.58,6.72,75.0,7.02,5,0,23.947895791583164
261,73.06,1843.92,7.92,75.0,5.55,5,0,23.847695390781563
262,69.8,4469.98,5.0,75.0,11.97,4,0,23.74749498997996
263,66.75,4012.29,5.0,75.0,14.25,4,0,23.647294589178355
264,62.7,3405.02,5.0,75.0,7.29,4,0,23.547094188376754
265,58.97,2846.0,5.0,75.0,7.55,4,0,23.44689378757515
266,54.04,2106.08,5.13,75.0,10.75,4,0,23.346693386773545
267,49.74,4460.81,5.0,75.0,9.75,3,0,23.246492985971944
268,45.8,3869.4,5.0,75.0,13.69,3,0,23.14629258517034
269,42.54,3380.76,5.0,75.0,13.55,3,0,23.046092184368735
270,37.76,2664.03,5.0,75.0,14.38,3,0,22.945891783567134
271,33.76,2063.74,5.0,75.0,8.75,3,0,22.84569138276553
272,29.17,4050.79,5.0,75.0,7.81,2,0,22.745490981963925
273,24.75,3255.65,5.0,75.0,6.34,2,0,22.645290581162325
274,20.54,2497.45,5.0,75.0,14.5,2,0,22.54509018036072
275,17.33,1918.52,5.0,75.0,10.07,2,0,22.444889779559116
276,12.39,4286.86,5.0,75.0,5.39,1,0,22.344689378757515
277,8.34,3375.57,5.0,75.0,8.69,1,0,22.24448897795591
278,4.09,2420.59,5.0,75.0,10.85,1,0,22.144288577154306
279,0.0,1500.0,5.0,75.0,8.04,1,0,22.044088176352705
280,0.0,1470.0,4.95,75.0,6.0,1,0,21.9438877755511
281,0.0,1500.0,5.0,75.0,5.81,1,0,21.843687374749496
282,0.0,1470.0,4.95,75.0,10.14,1,0,21.743486973947896
283,0.0,1500.0,5.0,75.0,7.85,1,0,21.64328657314629
284,0.0,1470.0,4.95,75.0,13.55,1,0,21.54308617234469
285,0.0,1500.0,5.0,75.0,8.61,1,0,21.442885771543086
286,0.0,1470.0,4.95,75.0,5.66,1,0,21.34268537074148
287,0.0,1500.0,5.0,75.0,8.12,1,0,21.24248496993988
288,0.0,1470.0,4.95,75.0,12.9,1,0,21.142284569138276
289,0.0,1500.0,5.0,75.0,9.12,1,0,21.04208416833667
290,0.0,1470.0,4.95,75.0,13.42,1,0,20.94188376753507
291,0.0,1500.0,5.0,75.0,11.51,1,0,20.841683366733466
292,0.0,1470.0,4.95,75.0,13.59,1,0,20.741482965931862
293,0.0,1500.0,5.0,75.0,9.95,1,0,20.64128256513026
294,0.0,1470.0,4.95,75.0,12.17,1,0,20.541082164328657
295,0.0,1500.0,5.0,75.0,5.25,1,0,20.440881763527052
296,0.0,1470.0,4.95,75.0,13.34,1,0,20.34068136272545
297,0.0,1500.0,5.0,75.0,13.73,1,0,20.240480961923847
298,0.0,1470.0,4.95,75.0,7.09,1,0,20.140280561122243
299,0.0,1500.0,5.0,75.0,6.92,1,0,20.04008016032064
300,0.0,1470.0,4.95,75.0,5.26,1,0,19.939879759519037
301,0.0,1500.0,5.0,75.0,11.62,1,0,19.839679358717433
302,0.0,1470.0,4.95,75.0,8.39,1,0,19.739478957915832
303,0.0,1500.0,5.0,75.0,14.29,1,0,19.639278557114228
304,0.0,1470.0,4.95,75.0,6.72,1,0,19.539078156312623
305,0.0,1500.0,5.0,75.0,5.81,1,0,19.438877755511022
306,0.0,1470.0,4.95,75.0,9.04,1,0,19.338677354709418
307,0.0,1500.0,5.0,75.0,13.53,1,0,19.238476953907814
308,0.0,1470.0,4.95,75.0,9.85,1,0,19.138276553106213
309,0.0,1500.0,5.0,75.0,6.66,1,0,19.03807615230461
310,0.0,1470.0,4.95,75.0,11.57,1,0,18.937875751503004
311,0.0,1500.0,5.0,75.0,14.47,1,0,18.837675350701403
312,0.0,1470.0,4.95,75.0,12.4,1,0,18.7374749498998
313,0.0,1500.0,5.0,75.0,12.37,1,0,18.637274549098194
314,0.0,1470.0,4.95,75.0,11.93,1,0,18.537074148296593
315,0.0,1500.0,5.0,75.0,8.57,1,0,18.43687374749499
316,0.0,1470.0,4.95,75.0,5.38,1,0,18.336673346693384
317,0.0,1500.0,5.0,75.0,11.78,1,0,18.236472945891784
318,0.0,1470.0,4.95,75.0,13.49,1,0,18.13627254509018
319,0.0,1500.0,5.0,75.0,8.59,1,0,18.036072144288575
320,0.0,1470.0,4.95,75.0,7.57,1,0,17.93587174348697
321,0.0,1500.0,5.0,75.0,6.38,1,0,17.835671342685373
322,0.0,1470.0,4.95,75.0,5.52,1,0,17.73547094188377
323,0.0,1500.0,5.0,75.0,13.77,1,0,17.635270541082164
324,0.0,1470.0,4.95,75.0,10.13,1,0,17.53507014028056
325,0.0,1500.0,5.0,75.0,7.54,1,0,17.434869739478955
326,0.0,1470.0,4.95,75.0,11.7,1,0,17.33466933867735
327,0.0,1500.0,5.0,75.0,14.53,1,0,17.234468937875754
328,0.0,1470.0,4.95,75.0,14.07,1,0,17.13426853707415
329,0.0,1500.0,5.0,75.0,10.66,1,0,17.034068136272545
330,0.0,1470.0,4.95,75.0,13.31,1,P0420,16.93386773547094
331,0.0,1500.0,5.0,75.0,5.16,1,0,16.833667334669336
332,0.0,1470.0,4.95,75.0,5.94,1,0,16.73346693386773
333,0.0,1500.0,5.0,75.0,10.3,1,0,16.633266533066134
334,0.0,1470.0,4.95,75.0,13.87,1,0,16.53306613226453
335,0.0,1500.0,5.0,75.0,14.42,1,0,16.432865731462925
336,0.0,1470.0,4.95,75.0,9.9,1,0,16.33266533066132
337,0.0,1500.0,5.0,75.0,12.67,1,0,16.232464929859717
338,0.0,1470.0,4.95,75.0,13.66,1,0,16.132264529058112
339,0.0,1500.0,5.0,75.0,9.49,1,0,16.032064128256515
340,0.0,1470.0,4.95,75.0,8.72,1,0,15.93186372745491
341,0.0,1500.0,5.0,75.0,7.72,1,0,15.831663326653306
342,0.0,1470.0,4.95,75.0,11.51,1,0,15.731462925851702
343,0.0,1500.0,5.0,75.0,8.01,1,0,15.631262525050097
344,0.0,1470.0,4.95,75.0,8.57,1,0,15.531062124248493
345,0.0,1500.0,5.0,75.0,9.44,1,0,15.430861723446895
346,0.0,1470.0,4.95,75.0,10.48,1,0,15.330661322645291
347,0.0,1500.0,5.0,75.0,5.61,1,0,15.230460921843687
348,0.0,1470.0,4.95,75.0,10.06,1,0,15.130260521042082
349,0.0,1500.0,5.0,75.0,9.7,1,0,15.030060120240478
350,0.0,1470.0,4.95,75.0,0.0,1,0,14.929859719438873
351,0.57,1627.32,5.0,75.0,34.83,1,0,14.829659318637276
352,0.48,1607.47,5.0,75.0,24.23,1,0,14.729458917835672
353,1.85,1916.61,5.0,75.0,31.77,1,P0420,14.629258517034067
354,3.32,2246.91,5.0,75.0,25.45,1,0,14.529058116232463
355,4.12,2426.88,5.0,75.0,27.24,1,0,14.428857715430858
356,2.93,2159.63,5.0,75.0,35.79,1,0,14.328657314629254
357,2.31,2019.43,5.0,75.0,33.12,1,0,14.228456913827657
358,1.44,1823.33,5.0,75.0,20.61,1,0,14.128256513026052
359,1.65,1870.25,5.0,75.0,37.53,1,0,14.028056112224448
360,1.73,1889.7,5.0,75.0,35.08,1,0,13.927855711422843
361,2.47,2055.8,5.0,75.0,24.1,1,0,13.827655310621239
362,2.87,2146.4,5.0,75.0,20.36,1,0,13.727454909819642
363,3.88,2372.89,5.0,75.0,27.98,1,0,13.627254509018037
364,4.93,2610.01,5.0,75.0,35.51,1,0,13.527054108216433
365,4.41,2491.19,5.0,75.0,33.58,1,0,13.426853707414828
366,3.39,2263.2,5.0,75.0,26.2,1,0,13.326653306613224
367,3.96,2390.21,5.0,75.0,39.72,1,0,13.22645290581162
368,5.28,2688.55,5.0,75.0,24.32,1,0,13.126252505010022
369,3.84,2364.69,5.0,75.0,33.42,1,0,13.026052104208418
370,3.38,2261.26,5.0,75.0,37.25,1,0,12.925851703406813
371,1.95,1938.81,5.0,75.0,32.19,1,0,12.825651302605209
372,1.7,1881.88,5.0,75.0,36.64,1,0,12.725450901803605
373,3.03,2180.94,5.0,75.0,23.59,1,0,12.625250501002
374,3.54,2297.11,5.0,75.0,25.04,1,0,12.525050100200403
375,4.55,2523.1,5.0,75.0,35.24,1,0,12.424849699398798
376,4.65,2546.02,5.0,75.0,21.23,1,0,12.324649298597194
377,4.61,2536.45,5.0,75.0,21.72,1,0,12.22444889779559
378,5.26,2683.6,5.0,75.0,38.87,1,0,12.124248496993985
379,6.58,2980.87,5.0,75.0,31.09,1,0,12.02404809619238
380,8.01,3302.83,5.0,75.0,32.84,1,0,11.923847695390783
381,8.68,3453.9,5.0,75.0,38.11,1,0,11.823647294589179
382,8.94,3510.48,5.0,75.0,33.43,1,0,11.723446893787575
383,7.71,3234.18,5.0,75.0,33.34,1,0,11.62324649298597
384,8.13,3328.74,5.0,75.0,32.15,1,0,11.523046092184366
385,7.25,3130.79,5.0,75.0,32.43,1,0,11.422845691382761
386,6.54,2972.29,5.0,75.0,36.7,1,0,11.322645290581164
387,6.51,2964.23,5.0,75.0,38.82,1,0,11.22244488977956
388,6.18,2889.73,5.0,75.0,32.13,1,0,11.122244488977955
389,7.38,3160.85,5.0,75.0,38.31,1,0,11.02204408817635
390,6.57,2977.47,5.0,75.0,20.5,1,0,10.921843687374746
391,5.49,2735.52,5.0,75.0,34.21,1,0,10.821643286573142
392,4.12,2427.7,5.0,75.0,36.73,1,0,10.721442885771545
393,3.92,2381.95,5.0,75.0,33.36,1,0,10.62124248496994
394,3.74,2342.32,5.0,75.0,21.31,1,0,10.521042084168336
